ID,Variable 1,Dependency,Variable 2
1,propertyManagement,->,propertyExpenses
2,propertyExpenses,->,rentalGrossProfit
3,actualRentalIncome,->,propertyExpenses
4,otherPropertyExpenses,->,propertyExpenses
5,rentalGrossProfit,->,rentalNetProfitBeforeInterest
6,actualRentalIncome,->,rentalGrossProfit
7,actualRentalIncome,->,rentalGrossYield
8,actualRentalIncome,->,rentalIncomeT+1
9,rentalIncomeLoss%,->,actualRentalIncome
10,rentalIncome,->,actualRentalIncome
11,propertyPurchaseValue,->,rentalGrossYield
12,propertyPurchaseValue,->,LTV
13,propertyPurchaseValue,->,propertyValueT+1
14,propertyPurchaseValue,->,stampDutyTaxBand
15,propertyPurchaseValue,->,stampDutyTax
16,propertyPurchaseValue,->,capitalGains
17,otherPropertyExpenses,->,otherPropertyExpensesT+1
18,propertyExpensesGrowth,->,otherPropertyExpensesT+1
19,rentalGrowth,->,rentalIncomeT+1
20,stampDutyTaxBand,->,stampDutyTax
21,capitalGrowth,->,capitalGains
22,capitalGains,->,propertyValueT+1
23,incomeTax,->,rentalNetProfitBeforeInterest
24,rentalNetProfitBeforeInterest,->,netProfit
25,interestTaxRelief,->,netProfit
26,interest,->,netProfit
27,interest,->,interestTaxRelief
28,interestRate,->,interest
29,borrowing,->,interest
30,otherInterestFees,->,interest
31,borrowing,->,LTV
